	faith_pd
10317.000071581.50470	17.57869
10317.000010255.3020	8.890940000000002
10317.000072168.50470	20.573069999999998
10317.000058834.31503	7.35425
10317.000067978.30606	10.594280000000001
10317.000034599.4021	9.959579999999999
10317.000086592.51570	17.93054
10317.000020368.2988	15.379169999999998
10317.000038334.26484	15.177679999999999
10317.000099102.56187	6.10118
10317.000014612.2923	13.24423
10317.000022164.3099	14.085829999999998
10317.000058732.25862	19.119899999999998
10317.000031288.2982	11.511989999999999
10317.000028742.4016	16.34074
10317.000013009.2917	17.04892
10317.000060049.33800	10.81817
10317.000036937.25501	14.657969999999999
10317.000066550.45578	4.068289999999999
10317.000023714.25370	17.44108
10317.000067682.26479	10.781609999999999
10317.000017115.3020	16.40833
10317.000032878.32981	10.10408
10317.000033228.4016	16.76895
10317.000002809.2905	9.786280000000001
10317.000007796.2926	16.6107
10317.000046417.25853	13.071559999999998
10317.000036096.25501	11.1032
10317.000002387.2948	13.682630000000001
10317.000050856.46739	6.26592
10317.000031575.2982	15.932390000000002
10317.000067069.45578	3.6927900000000005
10317.000005885.2946	11.85277
10317.000012086.2932	14.27677
10317.000029497.41931	15.983779999999998
10317.000002609.2948	6.279639999999999
10317.000089552.53379	9.65794
10317.000047181.31503	22.30324
10317.000067594.26479	14.80366
10317.000033192.3516	17.24052
10317.000010207.2911	15.398370000000002
10317.000053357.7852	19.05842
10317.000050293.7852	11.823500000000001
10317.000002810.2907	13.008280000000001
10317.000097723.56187	11.14325
10317.000051091.4021	10.14674
10317.000020451.2988	17.51859
10317.000038476.26531	2.16124
10317.000038351.26484	18.27391
10317.000005021.2907	35.97354
10317.000005656.2960	12.29912
10317.000065693.26478	6.169339999999998
10317.000084672.42298	16.643729999999998
10317.000040091.4016	12.10577
10317.000040383.3516	15.954770000000002
10317.000012153.2913	27.067240000000005
10317.000032738.3516	18.61424
10317.000102793.56187	18.27897
10317.000026135.3020	16.46768
10317.000023214.2988	9.55115
10317.000006888.2911	18.49024
10317.000101123.62401	8.69321
10317.000038455.32981	12.49825
10317.000023852.3516	14.827620000000001
10317.000032852.56079	6.92147
10317.000058858.50470	16.30049
10317.000058582.25498	8.61151
10317.000028775.3020	6.664289999999999
10317.000036399.3099	9.66847
10317.000063162.31503	14.307350000000001
10317.000071442.26480	11.97077
10317.000098055.56187	9.91652
10317.000032751.32981	10.44516
10317.000087032.45578	16.056449999999998
10317.000022608.3018	17.471869999999996
10317.000065499.42299	15.105599999999999
10317.000026127.3099	13.16645
10317.000023734.25370	8.00604
10317.000039952.3516	10.723479999999999
10317.000058788.25862	18.483020000000003
10317.000007085.2812	15.40261
10317.000003300.2948	11.491290000000001
10317.000084655.42298	9.988950000000003
10317.000083053.48742	16.84823
10317.000067538.26479	13.84752
10317.000030989.2982	19.71368
10317.000068797.26480	18.549560000000003
10317.000021693.32981	14.93807
10317.000003981.2905	14.590309999999999
10317.000016717.2921	15.191609999999997
10317.000002638.2948	12.46694
10317.000004656.2946	9.46646
10317.000026613.3020	14.889700000000001
10317.000043132.25501	10.41875
10317.000046328.26481	9.55796
10317.000039673.25862	15.883969999999998
10317.000026432.3022	15.662430000000002
10317.000006625.2905	14.54236
10317.000050340.25501	12.14405
10317.000012156.2917	18.597620000000003
10317.000013876.2932	9.184030000000002
10317.000027326.3022	19.071559999999998
10317.000083013.48742	16.05212
10317.000067981.26479	11.29753
10317.000076627.48742	15.065769999999997
10317.000062196.26480	8.54568
10317.000040352.3080	12.30598
10317.000040171.4016	11.96195
10317.000015191.2921	20.413379999999997
10317.000029623.2982	12.34228
10317.000047611.7852	12.663859999999998
10317.000090902.52698	11.04945
10317.000067634.26479	12.29509
10317.000001622.2948	8.95315
10317.000090128.51570	6.71202
10317.000087103.48742	16.77081
10317.000041873.32981	15.87229
10317.000005840.2946	16.4197
10317.000048251.4583	17.55035
10317.000016467.2923	14.785600000000002
10317.000003843.2917	16.5392
10317.000017083.3020	15.577290000000001
10317.000063386.26480	25.407209999999996
10317.000027358.3022	7.84547
10317.000012242.2911	18.83832
10317.000026584.3022	10.117530000000002
10317.000016703.2921	19.42659
10317.000063308.26480	43.21248999999999
10317.000070700.45578	11.17335
10317.000036114.3098	13.26213
10317.000087276.48742	11.95893
10317.000068787.41931	9.83455
10317.000075935.53379	19.11841
10317.000021799.3022	13.638789999999998
10317.000060324.26481	7.61979
10317.000086682.51570	17.568149999999996
10317.000033330.25501	14.586689999999999
10317.000072322.53379	13.075500000000002
10317.000067608.26479	15.5908
10317.000069776.26478	15.298820000000001
10317.000086597.51570	19.045279999999998
10317.000036400.3099	13.909259999999998
10317.000071385.30606	13.70523
10317.000075887.53379	22.538619999999998
10317.000014440.2917	13.249139999999999
10317.000044555.7852	15.30635
10317.000047679.26478	11.416699999999999
10317.000010338.26483	17.38188
10317.000044356.25862	17.36689
10317.000065385.25862	14.308370000000002
10317.000015016.2923	19.53368
10317.000067918.26479	9.565040000000002
10317.000007471.26483	19.8389
10317.000069844.50470	9.23346
10317.000067812.26479	18.78185
10317.000050567.46739	18.083349999999992
10317.000013327.2911	16.277800000000003
10317.000092798.56187	7.851710000000001
10317.000050970.46739	10.7599
10317.000053343.7852	9.28399
10317.000065592.26478	14.631690000000003
10317.000050324.53379	10.04759
10317.000038418.3516	9.092119999999998
10317.000090037.48742	19.26054
10317.000007384.26483	13.426219999999999
10317.000038114.32981	15.09355
10317.000065509.26478	16.33184
10317.000041938.32981	19.20865
